"subscription_rk","возраст","пол","кол-во детей","флаг отказа от коммуникаций","доход","возраст в банке","гео","дата подключения","дата отключения","активных дней","выгода","кол-во опций","активная дебетовая карта","активная кредитка","НС","активный мобаил","активный брокерский счет","вклад","флаг оплаты подписки","кол-во партнерских подписок","оборот","кол-во транзакций","транзакций кино","транзакций развлечения","транзакций фастфуд","транзакций музыка","транзакций рестораны","транзакций в оффере партнеров"
"686047840","25","F","0","0","25000","688","Москва","2022-12-10","2023-01-10","29","120.09","2","1","1","0","1","1","0","1","0","51143.95","42","0","0","3","0","1","5"
"11036132","49","M","0","0","90000","293","Новосибирск","2022-02-14","","418","767.18","5","1","1","1","0","1","0","1","0","89998.93","92","0","4","8","0","1","0"
"209687692","22","","","0","","213","Нижний Новгород","2022-11-18","2023-02-22","67","10.69","2","1","0","0","0","0","0","1","0","14779.83","34","0","0","12","0","0","0"
"177137908","40","F","0","0","11850","56","Назарово","2022-04-05","","368","285.4","5","1","0","0","1","0","0","1","0","5335.4","20","0","0","0","0","0","1"
"700932824","28","M","0","0","42000","282","Беломорск","2022-12-26","2023-03-27","77","144.45","5","1","0","1","0","0","0","1","1","28378.68","75","0","0","3","0","4","1"
"101416771","39","F","0","0","200000","143","Надым","2022-07-02","2022-09-01","0","227.36","4","1","0","0","0","0","0","0","0","60684.78","81","0","1","5","0","0","5"
"525422295","23","M","0","0","80000","203","Новосибирск","2022-08-30","2022-09-30","11","166.85","3","1","0","0","0","1","0","0","2","24608.75","121","0","0","16","0","1","3"
"488351634","34","F","0","0","","24","Екатеринбург","2022-03-04","2022-10-04","0","349.6","6","1","0","0","1","0","0","1","0","117744.8","130","0","3","11","0","4","1"
"626606187","31","M","0","0","60000","195","Новосибирск","2022-10-16","2022-11-16","37","11.45","2","1","0","0","0","0","0","0","0","13536.64","26","0","0","3","0","1","1"
"693309926","30","F","0","0","50000","143","Белово","2022-11-02","","157","87.01","3","1","0","0","0","0","0","1","0","25085.18","53","1","0","7","0","0","3"
"573243213","35","F","0","0","60000","516","Муром","2022-10-30","","160","164.71","3","1","0","0","0","0","0","1","0","44160.12","88","0","3","10","0","4","1"
"744555375","29","F","0","0","170000","1463","Санкт-Петербург","2022-10-07","","183","1055.01","5","1","1","1","0","1","0","1","0","298047.56","159","0","1","19","0","12","1"
"977382388","33","F","0","0","150000","1485","Уфа","2022-11-13","","146","270.75","4","1","0","1","0","0","0","1","0","10208.39","29","0","0","4","0","1","0"
"643088360","18","F","0","0","10000","287","Бугуруслан","2022-12-01","2023-02-01","61","131.19","4","1","0","1","0","0","0","1","0","10919.1","19","0","0","1","0","1","1"
"829307140","20","M","0","0","75000","618","Кызыл","2022-12-14","2023-01-05","22","211.99","3","1","0","0","0","0","0","0","0","14936.77","73","0","4","8","0","10","0"
"841071924","45","M","0","0","","157","Ярославль","2022-08-29","2022-10-29","61","0","1","1","0","0","0","0","0","0","0","40435.03","62","0","0","5","0","0","4"
